#   r    ph     vph    
3.02  238.374326855348     644.926754475354
3.025  241.625075918521     655.621493405505
3.03  244.929813215567     666.52705909825
3.035  248.28960466483     677.648282746667
3.04  251.705540648808     688.990121957907
3.045  255.178736655297     700.557664476568
3.05  258.710333937444     712.356132030104
3.055  262.301500193343     724.390884300665
3.06  265.953430265801     736.667423027948
3.065  269.667346862958     749.191396247833
3.07  273.444501300432     761.968602671745
3.075  277.286174265724     775.004996211904
3.08  281.193676605616     788.306690657805
3.085  285.168350137334     801.87996450951
3.09  289.211568484266     815.731265973552
3.095  293.324737937083     829.86721812746
3.1  297.509298341096     844.294624259203
3.105  301.76672401076     859.020473388072
3.11  306.098524672237     874.051945973796
3.115  310.506246434983     889.396419820963
3.12  314.991472793347     905.061476186131
3.125  319.555825659219     921.054906095268
3.13  324.200966426799     937.384716879536
3.135  328.928597070592     954.059138937717
3.14  333.740461277795     971.086632733961
3.145  338.638345616258     988.475896039875
3.15  343.624080739281     1006.23587143036
3.155  348.699542628532     1024.37575404299
3.16  353.866653876419     1042.90499961118
3.165  359.127385009332     1061.83333278177
3.17  364.483755853183     1081.17075572808
3.175  369.937836942767     1100.92755707013
3.18  375.491750976491     1121.11432111399
3.185  381.147674318117     1141.74193742288
3.19  386.907838547192     1162.82161073323
3.195  392.774532059937     1184.36487122923
3.2  398.750101722415     1206.38358519039
3.205  404.836954577875     1228.88996602685
3.21  411.037559610262     1251.89658571815
3.215  417.354449565939     1275.41638667158
3.22  423.790222835762     1299.46269401725
3.225  430.347545399736     1324.04922835747
3.23  437.029152836574     1349.19011898908
3.235  443.837852400554     1374.89991761792
3.24  450.776525168209     1401.19361258582
3.245  457.84812825744     1428.0866436311
3.25  465.055697121789     1455.59491720473
3.255  472.402347922696     1483.7348223651
3.26  479.8912799827     1512.52324727569
3.265  487.525778322656     1541.9775963307
3.27  495.309216286171     1572.11580793506
3.275  503.2450582546     1602.95637296645
3.28  511.336862456081     1634.51835394809
3.285  519.588283872235     1666.82140496257
3.29  528.003077246317     1699.88579233819
3.295  536.585100196758     1733.73241614111
3.3  545.338316440211     1768.38283250759
3.305  554.266799128387     1803.85927685284
3.31  563.37473430317     1840.18468799431
3.315  572.666424474654     1877.38273322914
3.32  582.146292327002     1915.47783440749
3.325  591.818884557195     1954.49519504529
3.33  601.688875851981     1994.46082852219
3.335  611.761073008578     2035.40158741262
3.34  622.040419204897     2077.34519400015
3.345  632.531998425357     2120.32027202784
3.35  643.241040048581     2164.35637973987
3.355  654.172923603584     2209.48404427228
3.36  665.333183701348     2255.73479745373
3.365  676.727515148974     2303.14121307993
3.37  688.361778253964     2351.73694572881
3.375  700.242004326484     2401.55677118655
3.38  712.374401387867     2452.6366285584
3.385  724.76536009394     2505.01366414162
3.39  737.421459882206     2558.72627714205
3.395  750.349475352296     2613.81416731965
3.4  763.55638288956     2670.31838465293
3.405  777.049367542113     2728.28138111668
3.41  790.835830162149     2787.74706467217
3.415  804.92339482284     2848.76085557421
3.42  819.319916522663     2911.36974510474
3.425  834.033489189583     2975.62235684847
3.43  849.072453998077     3041.56901063185
3.435  864.445408012645     3109.26178925323
3.44  880.161213172076     3178.75460813875
3.445  896.229005629453     3250.10328806532
3.45  912.658205463585     3323.36563110008
3.455  929.458526778337     3398.60149991304
3.46  946.639988207119     3475.8729006286
3.465  964.212923840657     3555.24406938998
3.47  982.187994597059     3636.78156282039
3.475  1000.57620005411     3720.55435257464
3.48  1019.38889076479     3806.63392418512
3.485  1038.63778107794     3895.0943804178
3.49  1058.33496248723     3986.01254936514
3.495  1078.49291753273     4079.46809751581
3.5  1099.12453428042     4175.54364805399
3.505  1120.24312140671     4274.32490465557
3.51  1141.86242391581     4375.90078106297
3.515  1163.99663951985     4480.36353673658
3.52  1186.66043571275     4587.80891889749
3.525  1209.86896757063     4698.33631129391
3.53  1233.63789631319     4812.04889004277
3.535  1257.98340866249     4929.05378691811
3.54  1282.92223703713     5049.46226047913
3.545  1308.4716806221     5173.38987545363
3.55  1334.64962735675     5300.95669081657
3.555  1361.47457688532     5432.28745702929
3.56  1388.96566451714     5567.51182293206
3.565  1417.14268624598     5706.76455281185
3.57  1446.0261248808     5850.18575419796
3.575  1475.63717734295     5997.92111697118
3.58  1505.99778318787     6150.12216440694
