#      t_n         th_n        vth_n       Rx          Ry          
       2.3       1.88259      0.119391         8.59048        -16.8501        
       2.305       1.88305      0.04937         8.60441        -16.8419        
       2.31       1.88316      -0.0206451         8.60531        -16.8413        
       2.315       1.88291      -0.0906625         8.59319        -16.8481        
       2.32       1.88232      -0.16069         8.56803        -16.8625        
       2.325       1.88138      -0.230736         8.52979        -16.8844        
       2.33       1.88008      -0.300808         8.47841        -16.9136        
       2.335       1.87844      -0.370913         8.41383        -16.9501        
       2.34       1.87644      -0.44106         8.33596        -16.9938        
       2.345       1.8741      -0.511255         8.24467        -17.0444        
       2.35       1.8714      -0.581507         8.13986        -17.1018        
       2.355       1.86835      -0.651821         8.02138        -17.1659        
       2.36       1.86495      -0.722206         7.88906        -17.2363        
       2.365       1.8612      -0.792668         7.74275        -17.3127        
       2.37       1.8571      -0.863214         7.58224        -17.395        
       2.375       1.85264      -0.933848         7.40735        -17.4827        
       2.38       1.84783      -1.00458         7.21786        -17.5755        
       2.385       1.84266      -1.07541         7.01355        -17.673        
       2.39       1.83715      -1.14635         6.79419        -17.7747        
       2.395       1.83127      -1.21739         6.55955        -17.8802        
       2.4       1.82504      -1.28856         6.30937        -17.9891        
       2.405       1.81846      -1.35984         6.04343        -18.1006        
       2.41       1.81152      -1.43124         5.76146        -18.2144        
       2.415       1.80422      -1.50277         5.46323        -18.3298        
       2.42       1.79656      -1.57443         5.14848        -18.446        
       2.425       1.78854      -1.64621         4.81698        -18.5625        
       2.43       1.78017      -1.71813         4.46851        -18.6785        
       2.435       1.77143      -1.79018         4.10283        -18.7932        
       2.44       1.76234      -1.86235         3.71974        -18.9059        
       2.445       1.75288      -1.93466         3.31906        -19.0155        
       2.45       1.74306      -2.0071         2.90062        -19.1213        
       2.455       1.73288      -2.07966         2.46427        -19.2223        
       2.46       1.72234      -2.15234         2.00991        -19.3175        
       2.465       1.71143      -2.22514         1.53744        -19.4058        
       2.47       1.70016      -2.29806         1.04683        -19.4863        
       2.475       1.68853      -2.37108         0.538067        -19.5577        
